id,fund,sort,total,"date",groupId
750,568,20,20,"2021-09-09",8
751,498,21,2,"2021-09-09",21
752,295,22,1,"2021-09-09",25
753,102,23,3,"2021-09-09",22
754,67,24,3,"2021-09-09",24
755,0,25,0,"2021-09-09",26
756,6168,0,67,"2021-09-10",1
757,6132,1,3,"2021-09-10",17
758,5220,2,6,"2021-09-10",20
759,4952,3,13,"2021-09-10",7
760,4465,4,4,"2021-09-10",16
761,4064,5,2,"2021-09-10",11
762,3481,6,2,"2021-09-10",3
763,3202,7,47,"2021-09-10",5
764,3044,8,20,"2021-09-10",4
765,2961,9,21,"2021-09-10",13
766,2249,10,6,"2021-09-10",15
767,1962,11,5,"2021-09-10",9
768,1529,12,2,"2021-09-10",19
769,1488,13,19,"2021-09-10",12
770,982,14,3,"2021-09-10",23
771,943,15,7,"2021-09-10",2
772,900,16,20,"2021-09-10",18
773,733,17,22,"2021-09-10",10
774,702,18,3,"2021-09-10",6
775,645,19,3,"2021-09-10",14
776,568,20,20,"2021-09-10",8
777,498,21,2,"2021-09-10",21
778,295,22,1,"2021-09-10",25
779,102,23,3,"2021-09-10",22
780,67,24,3,"2021-09-10",24
781,0,25,0,"2021-09-10",26
782,6168,0,67,"2021-09-11",1
783,6132,1,3,"2021-09-11",17
784,5220,2,6,"2021-09-11",20
785,4952,3,13,"2021-09-11",7
786,4465,4,4,"2021-09-11",16
787,4064,5,2,"2021-09-11",11
788,3481,6,2,"2021-09-11",3
789,3202,7,47,"2021-09-11",5
790,3044,8,20,"2021-09-11",4
791,2961,9,21,"2021-09-11",13
792,2249,10,6,"2021-09-11",15
793,1962,11,5,"2021-09-11",9
794,1529,12,2,"2021-09-11",19
795,1488,13,19,"2021-09-11",12
796,982,14,3,"2021-09-11",23
797,943,15,7,"2021-09-11",2
798,900,16,20,"2021-09-11",18
799,733,17,22,"2021-09-11",10
800,702,18,3,"2021-09-11",6
801,645,19,3,"2021-09-11",14
802,568,20,20,"2021-09-11",8
803,498,21,2,"2021-09-11",21
804,295,22,1,"2021-09-11",25
805,102,23,3,"2021-09-11",22
806,67,24,3,"2021-09-11",24
807,0,25,0,"2021-09-11",26
